1736032962.622440 server started (91794): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1736032962.622480 on Linux 6.6.68 #1-NixOS SMP PREEMPT_DYNAMIC Fri Dec 27 12:58:58 UTC 2024
1736032962.622491 using libevent 2.1.12-stable poll
1736032962.622504 using utf8proc 2.9.0
1736032962.622508 using ncurses 6.4 20221231
1736032962.622609 input_key_build: 0x10e003 (PasteStart) is \033[200~
1736032962.622614 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1736032962.622618 input_key_build: 0x10e195 (F1) is \033OP
1736032962.622622 input_key_build: 0x10e196 (F2) is \033OQ
1736032962.622625 input_key_build: 0x10e197 (F3) is \033OR
1736032962.622628 input_key_build: 0x10e198 (F4) is \033OS
1736032962.622631 input_key_build: 0x10e199 (F5) is \033[15~
1736032962.622648 input_key_build: 0x10e19a (F6) is \033[17~
1736032962.622658 input_key_build: 0x10e19b (F7) is \033[18~
1736032962.622663 input_key_build: 0x10e19c (F8) is \033[19~
1736032962.622668 input_key_build: 0x10e19d (F9) is \033[20~
1736032962.622676 input_key_build: 0x10e19e (F10) is \033[21~
1736032962.622681 input_key_build: 0x10e19f (F11) is \033[23~
1736032962.622686 input_key_build: 0x10e1a0 (F12) is \033[24~
1736032962.622691 input_key_build: 0x10e1a1 (IC) is \033[2~
1736032962.622696 input_key_build: 0x10e1a2 (DC) is \033[3~
1736032962.622702 input_key_build: 0x10e1a3 (Home) is \033[1~
1736032962.622707 input_key_build: 0x10e1a4 (End) is \033[4~
1736032962.622713 input_key_build: 0x10e1a5 (NPage) is \033[6~
1736032962.622718 input_key_build: 0x10e1a6 (PPage) is \033[5~
1736032962.622723 input_key_build: 0x10e1a7 (BTab) is \033[Z
1736032962.622729 input_key_build: 0x10e1a8 (Up) is \033[A
1736032962.622735 input_key_build: 0x10e1a9 (Down) is \033[B
1736032962.622741 input_key_build: 0x10e1aa (Left) is \033[D
1736032962.622747 input_key_build: 0x10e1ab (Right) is \033[C
1736032962.622751 input_key_build: 0x10e1ac (KP/) is /
1736032962.622754 input_key_build: 0x10e1ad (KP*) is *
1736032962.622758 input_key_build: 0x10e1ae (KP-) is -
1736032962.622761 input_key_build: 0x10e1af (KP7) is 7
1736032962.622764 input_key_build: 0x10e1b0 (KP8) is 8
1736032962.622767 input_key_build: 0x10e1b1 (KP9) is 9
1736032962.622771 input_key_build: 0x10e1b2 (KP+) is +
1736032962.622774 input_key_build: 0x10e1b3 (KP4) is 4
1736032962.622777 input_key_build: 0x10e1b4 (KP5) is 5
1736032962.622780 input_key_build: 0x10e1b5 (KP6) is 6
1736032962.622783 input_key_build: 0x10e1b6 (KP1) is 1
1736032962.622790 input_key_build: 0x10e1b7 (KP2) is 2
1736032962.622793 input_key_build: 0x10e1b8 (KP3) is 3
1736032962.622797 input_key_build: 0x10e1b9 (KPEnter) is \n
1736032962.622800 input_key_build: 0x10e1ba (KP0) is 0
1736032962.622803 input_key_build: 0x10e1bb (KP.) is .
1736032962.622807 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1736032962.622811 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1736032962.622814 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1736032962.622818 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1736032962.622821 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1736032962.622824 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1736032962.622828 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1736032962.622831 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1736032962.622834 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1736032962.622838 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1736032962.622841 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1736032962.622845 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1736032962.622848 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1736032962.622851 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1736032962.622855 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1736032962.622859 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1736032962.622862 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1736032962.622865 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1736032962.622869 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1736032962.622880 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1736032962.622888 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1736032962.622892 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1736032962.622895 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1736032962.622899 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1736032962.622903 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1736032962.622906 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1736032962.622910 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1736032962.622913 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1736032962.622917 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1736032962.622921 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
